Seq,Source,Tsend_pc_ns,Trecv_rpi_ns,Tsend2_rpi_ns,Trecv2_pc_ns,OneWay_PC_to_RPI_ms,RPI_Internal_ms,OneWay_RPI_to_PC_ms,RTT_ms,Linear_X,Angular_Z
164,nav2,1768474348147815825,1768474348149731527,1768474348149770990,1768474348151433606,1.9157,0.0395,1.6626,3.6178,0.200000,0.000000
165,nav2,1768474348188940378,1768474348191081819,1768474348191117448,1768474348191989346,2.1414,0.0356,0.8719,3.0490,0.200000,0.000000
166,nav2,1768474348241176838,1768474348244076634,1768474348244110319,1768474348245193912,2.8998,0.0337,1.0836,4.0171,0.200000,0.000000
167,nav2,1768474348293170629,1768474348296570971,1768474348296603878,1768474348297617130,3.4003,0.0329,1.0133,4.4465,0.200000,0.000000
168,nav2,1768474348349366417,1768474348351323535,1768474348351362645,1768474348352366976,1.9571,0.0391,1.0043,3.0006,0.200000,0.000000
169,nav2,1768474348390355883,1768474348394836369,1768474348394888072,1768474348396358367,4.4805,0.0517,1.4703,6.0025,0.200000,0.000000
170,nav2,1768474348452831657,1768474348455040049,1768474348455080437,1768474348456298629,2.2084,0.0404,1.2182,3.4670,0.200000,0.000000
171,nav2,1768474348494895787,1768474348496580228,1768474348496623617,1768474348498527726,1.6844,0.0434,1.9041,3.6319,0.200000,0.000000
172,nav2,1768474348546611865,1768474348548792122,1768474348548827936,1768474348551555266,2.1803,0.0358,2.7273,4.9434,0.200000,0.000000
173,nav2,1768474348588292453,1768474348590125710,1768474348590165636,1768474348591950816,1.8333,0.0399,1.7852,3.6584,0.200000,0.000000
174,nav2,1768474348643513371,1768474348649095527,1768474348649128897,1768474348650602496,5.5822,0.0334,1.4736,7.0891,0.200000,0.000000
175,nav2,1768474348696881493,1768474348698932175,1768474348698965397,1768474348700286197,2.0507,0.0332,1.3208,3.4047,0.200000,0.000000
176,nav2,1768474348750496413,1768474348752289618,1768474348752328673,1768474348753744802,1.7932,0.0391,1.4161,3.2484,0.200000,0.000000
177,nav2,1768474348794067199,1768474348796128913,1768474348796163395,1768474348797269118,2.0617,0.0345,1.1057,3.2019,0.200000,0.000000
178,nav2,1768474348845855174,1768474348848269159,1768474348848307752,1768474348849554759,2.4140,0.0386,1.2470,3.6996,0.200000,0.000000
179,nav2,1768474348900705715,1768474348902741688,1768474348902776466,1768474348903853555,2.0360,0.0348,1.0771,3.1478,0.200000,0.000000
180,nav2,1768474348946150235,1768474348948500083,1768474348948533213,1768474348949843319,2.3498,0.0331,1.3101,3.6931,0.200000,0.000000
181,nav2,1768474348998308717,1768474349000109684,1768474349000143443,1768474349001083642,1.8010,0.0338,0.9402,2.7749,0.200000,0.000000
182,nav2,1768474349049253832,1768474349050938531,1768474349050978216,1768474349053117807,1.6847,0.0397,2.1396,3.8640,0.200000,0.000000
183,nav2,1768474349092130398,1768474349093949313,1768474349093984516,1768474349094950020,1.8189,0.0352,0.9655,2.8196,0.200000,0.000000
184,nav2,1768474349143896957,1768474349145607839,1768474349145645265,1768474349146836599,1.7109,0.0374,1.1913,2.9396,0.200000,0.000000
185,nav2,1768474349195942318,1768474349198030232,1768474349198068121,1768474349199064042,2.0879,0.0379,0.9959,3.1217,0.200000,0.000000
186,nav2,1768474349248123581,1768474349250037812,1768474349250078349,1768474349251241781,1.9142,0.0405,1.1634,3.1182,0.200000,0.000000
187,nav2,1768474349281010783,1768474349284082110,1768474349284113129,1768474349285224227,3.0713,0.0310,1.1111,4.2134,0.200000,0.000000
188,nav2,1768474349347004656,1768474349348848670,1768474349348935170,1768474349350125205,1.8440,0.0865,1.1900,3.1205,0.200000,0.000000
